NExT-GQA Video Manifest
============================================================
Unique videos required:            989
Videos missing from map_vid_vidorID.json: 0

video_id | mapped_video_id | expected_relative_path | #qids
10109006686 | 1025/10109006686 | 1025/10109006686.mp4 | 5
10128261054 | 1009/10128261054 | 1009/10128261054.mp4 | 7
10149430394 | 1150/10149430394 | 1150/10149430394.mp4 | 4
10173643695 | 1203/10173643695 | 1203/10173643695.mp4 | 10
10174992863 | 1107/10174992863 | 1107/10174992863.mp4 | 6
10209170426 | 1052/10209170426 | 1052/10209170426.mp4 | 6
10278239024 | 1019/10278239024 | 1019/10278239024.mp4 | 7
10305881544 | 1122/10305881544 | 1122/10305881544.mp4 | 6
10309844035 | 1161/10309844035 | 1161/10309844035.mp4 | 9
10316970886 | 0053/10316970886 | 0053/10316970886.mp4 | 7
10355341433 | 1101/10355341433 | 1101/10355341433.mp4 | 3
10376859826 | 1026/10376859826 | 1026/10376859826.mp4 | 5
10400848434 | 0082/10400848434 | 0082/10400848434.mp4 | 8
10437686463 | 0062/10437686463 | 0062/10437686463.mp4 | 11
10467727335 | 1005/10467727335 | 1005/10467727335.mp4 | 6
10483027904 | 1016/10483027904 | 1016/10483027904.mp4 | 7
10488004303 | 1161/10488004303 | 1161/10488004303.mp4 | 10
10495085476 | 1105/10495085476 | 1105/10495085476.mp4 | 11
10640925015 | 1103/10640925015 | 1103/10640925015.mp4 | 7
10652030225 | 1202/10652030225 | 1202/10652030225.mp4 | 4
10682218035 | 0071/10682218035 | 0071/10682218035.mp4 | 5
10728284944 | 1023/10728284944 | 1023/10728284944.mp4 | 9
10734790773 | 1122/10734790773 | 1122/10734790773.mp4 | 7
10747331063 | 0005/10747331063 | 0005/10747331063.mp4 | 8
10843059584 | 1001/10843059584 | 1001/10843059584.mp4 | 2
10864382765 | 1020/10864382765 | 1020/10864382765.mp4 | 5
10905462446 | 0011/10905462446 | 0011/10905462446.mp4 | 3
10922064546 | 1007/10922064546 | 1007/10922064546.mp4 | 1
10985344225 | 0042/10985344225 | 0042/10985344225.mp4 | 9
11019529085 | 1002/11019529085 | 1002/11019529085.mp4 | 10
11077200623 | 1001/11077200623 | 1001/11077200623.mp4 | 2
11155395153 | 1005/11155395153 | 1005/11155395153.mp4 | 9
11169386614 | 1001/11169386614 | 1001/11169386614.mp4 | 8
11276537014 | 0093/11276537014 | 0093/11276537014.mp4 | 8
11277683376 | 1155/11277683376 | 1155/11277683376.mp4 | 6
11278971046 | 1202/11278971046 | 1202/11278971046.mp4 | 3
11342887364 | 1099/11342887364 | 1099/11342887364.mp4 | 4
11367655303 | 1018/11367655303 | 1018/11367655303.mp4 | 2
11400037054 | 1011/11400037054 | 1011/11400037054.mp4 | 6
11444414803 | 1011/11444414803 | 1011/11444414803.mp4 | 3
11506594895 | 1012/11506594895 | 1012/11506594895.mp4 | 9
11558755515 | 1052/11558755515 | 1052/11558755515.mp4 | 10
11576401024 | 1013/11576401024 | 1013/11576401024.mp4 | 6
11589691386 | 1026/11589691386 | 1026/11589691386.mp4 | 4
11645942265 | 1019/11645942265 | 1019/11645942265.mp4 | 3
11672562206 | 1130/11672562206 | 1130/11672562206.mp4 | 4
11794871936 | 1020/11794871936 | 1020/11794871936.mp4 | 7
11794880314 | 1015/11794880314 | 1015/11794880314.mp4 | 7
11848898333 | 1011/11848898333 | 1011/11848898333.mp4 | 4
11944072804 | 1011/11944072804 | 1011/11944072804.mp4 | 6
11982334506 | 1107/11982334506 | 1107/11982334506.mp4 | 4
12011352464 | 1103/12011352464 | 1103/12011352464.mp4 | 8
12068876905 | 1161/12068876905 | 1161/12068876905.mp4 | 5
12078592673 | 1015/12078592673 | 1015/12078592673.mp4 | 4
12257884095 | 1023/12257884095 | 1023/12257884095.mp4 | 5
12298809926 | 1018/12298809926 | 1018/12298809926.mp4 | 8
12299711406 | 1025/12299711406 | 1025/12299711406.mp4 | 9
12397126264 | 1027/12397126264 | 1027/12397126264.mp4 | 8
12427023395 | 1018/12427023395 | 1018/12427023395.mp4 | 8
